province,prov_id,cons_no,zones,registered_voters,cons_turnout,cons_turnout_pct,cons_valid,cons_invalid,cons_blank,winner_name,winner_party,winner_votes,winner_pct,party_list_turnout,party_list_turnout_pct,party_list_valid,party_list_invalid,party_list_blank,top_party_list_party,top_party_list_votes,top_party_list_pct,ref_turnout,ref_turnout_pct,ref_valid,ref_invalid,ref_yes,ref_yes_pct,ref_no,ref_no_pct,ref_abstained
กรุงเทพมหานคร,BKK,1,"เขตพระนคร, เขตดุสิต (ยกเว้นถนนนครไชยศรี), เขตบางรัก, เขตป้อมปราบศัตรูพ่าย, เขตสัมพันธวงศ์",130423,78449,60.15,73354,1083,4012,นายปารเมศ วิทยารักษ์สรรค์,ประชาชน,32564,44.39,78155,59.92,74515,1590,2050,ประชาชน,32377,43.45,79245,60.76,78266,979,47947,61.26,26432,33.77,3887
กรุงเทพมหานคร,BKK,2,"เขตปทุมวัน, เขตสาทร, เขตราชเทวี",136481,84672,62.04,78713,1319,4640,นายเสกสิทธิ์ แย้มสงวนศักดิ์,ประชาชน,37055,47.08,84550,61.95,80804,1432,2314,ประชาชน,37773,46.75,81960,60.05,80964,996,50937,62.91,26114,32.25,3913
กรุงเทพมหานคร,BKK,3,"เขตยานนาวา, เขตบางคอแหลม",122578,77999,63.63,72671,1353,3975,นายจรยุทธ จตุรพรประสิทธิ์,ประชาชน,32753,45.07,78327,63.9,75007,1381,1939,ประชาชน,34103,45.47,88357,72.08,87252,1105,57511,65.91,25777,29.54,3964
กรุงเทพมหานคร,BKK,4,"เขตคลองเตย, เขตวัฒนา",129453,74760,57.75,70338,1370,3052,นายภัณฑิล น่วมเจิม,ประชาชน,30477,43.33,74571,57.6,71263,1586,1722,ประชาชน,31995,44.9,75703,58.48,74620,1083,46852,62.79,24062,32.25,3706
กรุงเทพมหานคร,BKK,5,"เขตห้วยขวาง, เขตวังทองหลาง (ยกเว้นคลองเจ้าคุณสิงห์)",134016,92193,68.79,86672,1223,4298,นายปิติกรณ์ บรรณเภสัช,ประชาชน,43394,50.07,91822,68.52,88341,1372,2109,ประชาชน,43941,49.74,106053,79.13,105029,1024,75322,71.72,25811,24.58,3896
กรุงเทพมหานคร,BKK,6,"เขตพญาไท, เขตดินแดง",143144,96139,67.16,89947,1327,4865,นายกัณตภณ ดวงอัมพร,ประชาชน,41394,46.02,95985,67.05,91803,1732,2450,ประชาชน,42985,46.82,102242,71.43,101016,1226,67249,66.57,29424,29.13,4343
กรุงเทพมหานคร,BKK,7,"เขตดุสิต (เฉพาะถนนนครไชยศรี), เขตบางซื่อ",138276,87360,63.18,80487,1556,5317,นางสาวภัสริน รามวงศ์,ประชาชน,38574,47.93,87437,63.23,83240,1600,2597,ประชาชน,38647,46.43,84106,60.82,83031,1075,52957,63.78,25833,31.11,4241
กรุงเทพมหานคร,BKK,8,"เขตจตุจักร (ยกเว้นเสนานิคม จันทรเกษม), เขตหลักสี่ (ยกเว้นตลาดบางเขน)",144067,93179,64.68,86197,1530,5452,นายชยพล สท้อนดี,ประชาชน,39081,45.34,92607,64.28,88593,1576,2438,ประชาชน,40056,45.21,94333,65.48,93337,996,60343,64.65,28951,31.02,4043
กรุงเทพมหานคร,BKK,9,"เขตบางเขน (ยกเว้นท่าแร้ง), เขตจตุจักร (เฉพาะเสนานิคม จันทรเกษม), เขตหลักสี่ (ยกเว้นทุ่งสองห้อง)",144296,97958,67.89,90662,1523,5773,นายศุภณัฐ มีนชัยนันท์,ประชาชน,47108,51.96,97497,67.57,93330,1493,2674,ประชาชน,44763,47.96,106562,73.85,105500,1062,72424,68.65,28614,27.12,4462
กรุงเทพมหานคร,BKK,10,เขตดอนเมือง,138687,90627,65.35,83784,1415,5428,นายเอกราช อุดมอำนวย,ประชาชน,37489,44.74,90689,65.39,86401,1676,2612,ประชาชน,40209,46.54,90978,65.6,89852,1126,59374,66.08,25236,28.09,5242
กรุงเทพมหานคร,BKK,11,เขตสายไหม (ยกเว้นออเงิน),137319,95230,69.35,90059,1171,4000,นางสาวศศินันท์ ธรรมนิฐินันท์,ประชาชน,36844,40.91,95046,69.22,90987,1664,2395,ประชาชน,42627,46.85,98248,71.55,97052,1196,66624,68.65,25212,25.98,5216
กรุงเทพมหานคร,BKK,12,"เขตบางเขน (ยกเว้นอนุสาวรีย์), เขตลาดพร้าว (ยกเว้นลาดพร้าว), เขตสายไหม (เฉพาะออเงิน)",143148,100659,70.32,93925,1483,5251,นายภูริวรรธก์ ใจสำราญ,ประชาชน,44824,47.72,100578,70.26,96726,1412,2440,ประชาชน,46787,48.37,105446,73.66,104355,1091,72374,69.35,27513,26.36,4468
กรุงเทพมหานคร,BKK,13,"เขตบึงกุ่ม (ยกเว้นคลองกุ่ม), เขตลาดพร้าว (ยกเว้นจรเข้บัว)",131707,85806,65.15,79890,1185,4731,เรืออากาศโทธนเดช เพ็งสุข,ประชาชน,39644,49.62,86328,65.55,83019,1260,2049,ประชาชน,40040,48.23,90891,69.01,89925,966,60621,67.41,25749,28.63,3555
กรุงเทพมหานคร,BKK,14,"เขตบางกะปิ, เขตวังทองหลาง (เฉพาะคลองเจ้าคุณสิงห์)",140341,89044,63.45,83986,1306,3752,นายก่อเกียรติ ก่อสูงศักดิ์,ประชาชน,36911,43.95,89210,63.57,85722,1436,2052,ประชาชน,39743,46.36,90978,64.83,89807,1171,58331,64.95,27587,30.72,3889
กรุงเทพมหานคร,BKK,15,"เขตบึงกุ่ม (เฉพาะคลองกุ่ม), เขตคันนายาว",127758,87827,68.74,81890,1269,4668,นายวิทวัส ติชะวาณิชย์,ประชาชน,35586,43.46,88267,69.09,84493,1533,2241,ประชาชน,38643,45.74,92415,72.34,91351,1064,61347,67.16,25605,28.03,4399
กรุงเทพมหานคร,BKK,16,เขตคลองสามวา (ยกเว้นสามวาตะวันออก ทรายกองดินใต้),138261,91334,66.06,85747,1310,4277,นางสาวพิมพ์กาญจน์ กีรติวิราปกรณ์,ประชาชน,41727,48.66,91349,66.07,87701,1342,2306,ประชาชน,44383,50.61,98194,71.02,97170,1024,67765,69.74,24720,25.44,4685
กรุงเทพมหานคร,BKK,17,"เขตหนองจอก (ยกเว้นโคกแฝด ลำผักชี ลำต้อยติ่ง), เขตคลองสามวา (เฉพาะสามวาตะวันออก ทรายกองดินใต้)",120704,75113,62.23,68125,1844,5144,นายวีรวุธ รักเที่ยง,ประชาชน,27187,39.91,75330,62.41,70229,2098,3003,ประชาชน,29705,42.3,77061,63.84,75723,1338,47209,62.34,22450,29.65,6064
กรุงเทพมหานคร,BKK,18,"เขตหนองจอก (เฉพาะโคกแฝด ลำผักชี ลำต้อยติ่ง), เขตมีนบุรี (ยกเว้นมีนบุรี), เขตลาดกระบัง (เฉพาะลำปลาทิว)",122857,79260,64.51,73057,1334,4869,นายธีรัจชัย พันธุมาศ,ประชาชน,31027,42.47,79194,64.46,74583,2113,2498,ประชาชน,32917,44.13,80272,65.34,78879,1393,49790,63.12,23450,29.73,5639
กรุงเทพมหานคร,BKK,19,"เขตมีนบุรี (ยกเว้นแสนแสบ), เขตสะพานสูง (ยกเว้นทับช้าง)",135594,89867,66.28,83857,1517,4493,นายกันต์พงษ์ ประยูรศักดิ์,ประชาชน,38566,45.99,89867,66.28,86264,1496,2107,ประชาชน,40246,46.65,94102,69.4,92996,1106,61577,66.21,27065,29.1,4354
กรุงเทพมหานคร,BKK,20,เขตลาดกระบัง (ยกเว้นลำปลาทิว),126504,78913,62.38,74013,1611,3289,นายชุมพล หลักคำ,ประชาชน,31037,41.93,78727,62.23,74772,1764,2191,ประชาชน,35327,47.25,98157,77.59,96808,1349,70717,73.05,20791,21.48,5300
กรุงเทพมหานคร,BKK,21,"เขตประเวศ (ยกเว้นหนองบอน), เขตสะพานสูง (เฉพาะทับช้าง)",136677,87981,64.37,83023,1387,3571,นายณัฐพงศ์ เปรมพูลสวัสดิ์,ประชาชน,41256,49.69,88211,64.54,84537,1407,2267,ประชาชน,41951,49.62,88836,65.0,87723,1113,58816,67.05,24423,27.84,4484
กรุงเทพมหานคร,BKK,22,"เขตประเวศ (เฉพาะหนองบอน), เขตสวนหลวง",133669,87232,65.26,80888,1419,4925,นายสุภกร ตันติไพบูลย์ธนะ,ประชาชน,39831,49.24,87319,65.32,83561,1401,2357,ประชาชน,40358,48.3,95164,71.19,94063,1101,63559,67.57,26506,28.18,3998
กรุงเทพมหานคร,BKK,23,"เขตพระโขนง, เขตบางนา",144136,95094,65.98,89186,1016,4892,นายชลธาร ทรัพย์ไพบูลย์เลิศ,ประชาชน,44381,49.76,90844,63.03,87246,1242,2356,ประชาชน,42830,49.09,113423,78.69,112273,1150,79200,70.54,28780,25.63,4293
กรุงเทพมหานคร,BKK,24,"เขตธนบุรี (ยกเว้นวัดกัลยาณ์ หิรัญรูจี บางยี่เรือ), เขตคลองสาน, เขตราษฎร์บูรณะ (ยกเว้นราษฎร์บูรณะ)",142161,91552,64.4,84371,1800,5381,นายณพัฎน์ จิตตภินันท์กัณตา,ประชาชน,43857,51.98,91523,64.38,87082,1702,2739,ประชาชน,43108,49.5,94559,66.52,93330,1229,62503,66.97,26119,27.99,4708
กรุงเทพมหานคร,BKK,25,"เขตราษฎร์บูรณะ (ยกเว้นบางปะกอก), เขตทุ่งครุ",126847,82288,64.87,77290,1348,3650,นางสาวแอนศิริ วลัยกนก,ประชาชน,33581,43.45,82302,64.88,78280,1811,2211,ประชาชน,37538,47.95,82832,65.3,81641,1191,54091,66.25,23053,28.24,4497
กรุงเทพมหานคร,BKK,26,"เขตบางขุนเทียน (ยกเว้นแสมดำ), เขตจอมทอง (ยกเว้นบางขุนเทียน)",139473,89312,64.04,82875,1707,4730,นายพงษ์สรณัฐ ทองลี,ประชาชน,40407,48.76,89327,64.05,84984,1947,2396,ประชาชน,42042,49.47,93037,66.71,91743,1294,62548,68.18,24029,26.19,5166
กรุงเทพมหานคร,BKK,27,"เขตบางขุนเทียน (ยกเว้นท่าข้าม), เขตบางบอน (ยกเว้นบางบอนเหนือ คลองบางพราน)",134519,91070,67.7,85471,1503,4096,นายนฤพล เลิศปัญญาโรจน์,ประชาชน,40639,47.55,91070,67.7,86860,1721,2489,ประชาชน,43607,50.2,96402,71.66,95035,1367,66490,69.96,23258,24.47,5287
กรุงเทพมหานคร,BKK,28,"เขตหนองแขม (ยกเว้นหนองค้างพลู), เขตจอมทอง (เฉพาะบางขุนเทียน), เขตบางบอน (ยกเว้นบางบอนใต้ คลองบางบอน)",139847,77195,55.2,71197,1534,4464,นางสาวชลณัฏฐ์ โกยกุล,ประชาชน,37355,52.47,76799,54.92,73131,1463,2205,ประชาชน,37579,51.39,76858,54.96,75797,1061,51668,68.17,19770,26.08,4359
กรุงเทพมหานคร,BKK,29,"เขตหนองแขม (ยกเว้นหนองแขม), เขตบางแค (ยกเว้นบางแค หลักสอง)",144498,95801,66.3,88794,1762,5245,นางสาวทิสรัตน์ เลาหพล,ประชาชน,42268,47.6,95693,66.22,90731,2254,2708,ประชาชน,43249,47.67,96344,66.67,94979,1365,63017,66.35,26601,28.01,5361
กรุงเทพมหานคร,BKK,30,"เขตภาษีเจริญ (เฉพาะบางหว้า บางด้วน คลองขวาง), เขตบางแค (ยกเว้นบางแคเหนือ บางไผ่)",143904,96587,67.12,89793,1438,5356,นายธัญธร ธนินวัฒนาธร,ประชาชน,44737,49.82,98344,68.34,93806,1828,2710,ประชาชน,47043,50.15,108387,75.32,107008,1379,75340,70.41,26378,24.65,5290
กรุงเทพมหานคร,BKK,31,"เขตตลิ่งชัน (ยกเว้นบางเชือกหนัง), เขตทวีวัฒนา",143811,102192,71.06,93621,1887,6684,นายอนุสรณ์ ธรรมใจ,ประชาชน,42717,45.63,102329,71.16,96994,1977,3358,ประชาชน,44164,45.53,107883,75.02,106492,1391,69319,65.09,31388,29.47,5785
กรุงเทพมหานคร,BKK,32,"เขตธนบุรี (เฉพาะวัดกัลยาณ์ หิรัญรูจี บางยี่เรือ), เขตบางกอกใหญ่, เขตตลิ่งชัน (เฉพาะบางเชือกหนัง), เขตบางกอกน้อย (เฉพาะศิริราช), เขตภาษีเจริญ (ยกเว้นบางหว้า บางด้วน คลองขวาง)",139079,87928,63.22,80054,2145,5729,นางสาวปวิตรา จิตตกิจ,ประชาชน,36963,46.17,88018,63.29,83294,1992,2732,ประชาชน,38742,46.51,88691,63.77,87376,1315,56695,64.89,25673,29.38,5008
กรุงเทพมหานคร,BKK,33,"เขตบางกอกน้อย (ยกเว้นศิริราช), เขตบางพลัด",148223,90725,61.21,83494,1884,5347,นายเท่าพิภพ ลิ้มจิตรกร,ประชาชน,39831,47.71,90680,61.18,86400,1664,2616,ประชาชน,39428,45.63,108013,72.87,106875,1138,73455,68.73,28829,26.97,4591
สมุทรปราการ,SPK,1,อำเภอเมืองสมุทรปราการ (เฉพาะบางโปรง บางด้วน บางเมือง ท้ายบ้าน ปากน้ำ),130808,91637,70.05,82985,3986,4666,นางสาวพนิดา มงคลสวัสดิ์,ประชาชน,41275,49.74,91610,70.03,85893,2840,2877,ประชาชน,41013,47.75,88843,67.92,87289,1554,57917,66.35,23198,26.58,6174
สมุทรปราการ,SPK,2,อำเภอเมืองสมุทรปราการ (เฉพาะแพรกษา บางปูใหม่ บางปู ท้ายบ้านใหม่),129020,89085,69.05,82529,2357,4199,นางสาวรัชนก สุขประเสริฐ,ประชาชน,37424,45.35,89327,69.23,83407,2883,3037,ประชาชน,39579,47.45,93424,72.41,91646,1778,63993,69.83,20808,22.7,6845
สมุทรปราการ,SPK,3,อำเภอเมืองสมุทรปราการ (เฉพาะเทพารักษ์ บางเมืองใหม่ สำโรงเหนือ),141171,88659,62.8,81428,2232,4999,นายพิชัย แจ้งจรรยาวงศ์,ประชาชน,41362,50.8,91858,65.07,86591,2110,3157,ประชาชน,43100,49.77,92139,65.27,90919,1220,61562,67.71,23962,26.36,5395
สมุทรปราการ,SPK,4,อำเภอบางพลี (เฉพาะบางพลีใหญ่ บางแก้ว),136475,90493,66.31,83459,1513,5521,นายชนสิษฎ์ ยอดฉิม,ประชาชน,43764,52.44,88654,64.96,84354,1482,2818,ประชาชน,44594,52.87,83101,60.89,82153,948,57361,69.82,20144,24.52,4648
