province,prov_id,cons_id,cons_no,zones,registered_voters,ref_turnout,ref_turnout_pct,ref_valid,ref_valid_pct,ref_invalid,ref_invalid_pct,yes_votes,yes_pct,no_votes,no_pct,abstained,abstained_pct,counted_stations,count_pct
กรุงเทพมหานคร,BKK,BKK_1,1,"เขตพระนคร, เขตดุสิต (ยกเว้นถนนนครไชยศรี), เขตบางรัก, เขตป้อมปราบศัตรูพ่าย, เขตสัมพันธวงศ์",130423,79245,60.76,78266,98.76,979,1.24,47947,61.26,26432,33.77,3887,4.97,225,94.94
กรุงเทพมหานคร,BKK,BKK_2,2,"เขตปทุมวัน, เขตสาทร, เขตราชเทวี",136481,81960,60.05,80964,98.78,996,1.22,50937,62.91,26114,32.25,3913,4.83,218,94.78
กรุงเทพมหานคร,BKK,BKK_3,3,"เขตยานนาวา, เขตบางคอแหลม",122578,88357,72.08,87252,98.75,1105,1.25,57511,65.91,25777,29.54,3964,4.54,204,94.88
กรุงเทพมหานคร,BKK,BKK_4,4,"เขตคลองเตย, เขตวัฒนา",129453,75703,58.48,74620,98.57,1083,1.43,46852,62.79,24062,32.25,3706,4.97,185,94.87
กรุงเทพมหานคร,BKK,BKK_5,5,"เขตห้วยขวาง, เขตวังทองหลาง (ยกเว้นคลองเจ้าคุณสิงห์)",134016,106053,79.13,105029,99.03,1024,0.97,75322,71.72,25811,24.58,3896,3.71,204,94.88
กรุงเทพมหานคร,BKK,BKK_6,6,"เขตพญาไท, เขตดินแดง",143144,102242,71.43,101016,98.8,1226,1.2,67249,66.57,29424,29.13,4343,4.3,207,94.95
กรุงเทพมหานคร,BKK,BKK_7,7,"เขตดุสิต (เฉพาะถนนนครไชยศรี), เขตบางซื่อ",138276,84106,60.82,83031,98.72,1075,1.28,52957,63.78,25833,31.11,4241,5.11,199,94.76
กรุงเทพมหานคร,BKK,BKK_8,8,"เขตจตุจักร (ยกเว้นเสนานิคม จันทรเกษม), เขตหลักสี่ (ยกเว้นตลาดบางเขน)",144067,94333,65.48,93337,98.94,996,1.06,60343,64.65,28951,31.02,4043,4.33,191,94.55
กรุงเทพมหานคร,BKK,BKK_9,9,"เขตบางเขน (ยกเว้นท่าแร้ง), เขตจตุจักร (เฉพาะเสนานิคม จันทรเกษม), เขตหลักสี่ (ยกเว้นทุ่งสองห้อง)",144296,106562,73.85,105500,99.0,1062,1.0,72424,68.65,28614,27.12,4462,4.23,187,94.92
กรุงเทพมหานคร,BKK,BKK_10,10,เขตดอนเมือง,138687,90978,65.6,89852,98.76,1126,1.24,59374,66.08,25236,28.09,5242,5.83,176,94.62
