province,cons_no,cons_code,no_1,name_1,party_1,no_2,name_2,party_2,no_3,name_3,party_3,no_4,name_4,party_4,no_5,name_5,party_5,no_6,name_6,party_6,no_7,name_7,party_7,no_8,name_8,party_8,no_9,name_9,party_9,no_10,name_10,party_10,no_11,name_11,party_11,no_12,name_12,party_12,no_13,name_13,party_13,no_14,name_14,party_14,no_15,name_15,party_15,no_16,name_16,party_16,no_17,name_17,party_17,no_18,name_18,party_18,no_19,name_19,party_19
กระบี่,1,กระบี่.01,1,นายสุวรรณ อินพรหม,เพื่อไทย,2,นายกิตติ กิตติธรกุล,ภูมิใจไทย,3,นายธนวัช ภูเก้าล้วน,ประชาชน,4,นายวศิน สิริเกียรติกุล,ประชาธิปัตย์,5,นายพิทักษ์ ภารา,เศรษฐกิจ,6,นายพงไพร บุตรเลี่ยม,พลังประชารัฐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กระบี่,2,กระบี่.02,1,นายยุทธนา อ่าวลึกน้อย,เพื่อไทย,2,นายถิรเดช ตั้งมั่นก่อกิจ,ภูมิใจไทย,3,นายสมใจ นวลนุ่น,ไทยก้าวใหม่,4,นายกฤตพร บุษย์เพชร,ประชาธิปัตย์,5,นางสาวรัตนภรณ์ ณ นคร,ประชาชน,6,นายวิชากร บุญฤทธิ์,พลังประชารัฐ,7,นายสีหเดช แสงจันทร์,เศรษฐกิจ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กระบี่,3,กระบี่.03,1,นายสุกิติ พรหมทอง,ประชาธิปัตย์,2,นายประเสริฐพงษ์ ศรนุวัตร์,ประชาชน,3,นายกุศล วะเจดีย์,เพื่อไทย,4,นายศรัญญู รักมิตร,กล้าธรรม,5,นายกิตติชัย เอ่งฉ้วน,ภูมิใจไทย,6,นายสรร ชัยภัทรธัญกร,เศรษฐกิจ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,1,นางสาวลลิดา เพริศวิวัฒนา,ภูมิใจไทย,2,พันตำรวจโทหญิง แสนสุข อุทยานินทร์,เศรษฐกิจ,3,นายอัครพล คฤหเดชรัตนา,กล้าธรรม,4,นายธนะสิทธิ์ ล้อสุวรรณทีปต์,พลวัต,5,นายปารเมศ วิทยารักษ์สรรค์,ประชาชน,6,นายพลัฏฐ์ ศิริกุลพิสุทธิ์,รวมไทยสร้างชาติ,7,นายภัทรพล หมดมลทิน,ไทยภักดี,8,นายญาณกิตติ์ ห่วงทรัพย์,เพื่อไทย,9,นายพีรวุฒิ พิมพ์สมฤดี,ประชาธิปัตย์,10,นายวีรยุทธ ประกอบการ,ปวงชนไทย,11,นายพิเชษฐ์ ไทยนิยม,ไทยสร้างไทย,12,นายแทนคุณ จิตต์อิสระ,โอกาสใหม่,13,นายเลิศชาย สุจริตกุล,วิชชั่นใหม่,14,นายมงคล เสมอภาพ,ประชาธิปไตยใหม่,15,นายอดัม ชินรัตนพิสิทธิ์,รักชาติ,16,นายกานต์ กิตติอำพน,ไทยก้าวใหม่,17,นายประสงค์ ประสพโชค,ทางเลือกใหม่,18,นายกิตติคุณ ชื่นแย้ม,พลังประชารัฐ,,,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,1,นางสาววรสิริ สุพานิชวรภาชน์,ปวงชนไทย,2,นายเสกสิทธิ์ แย้มสงวนศักดิ์,ประชาชน,3,นางสาววิลาสินี แป๊ะสมัน,กล้าธรรม,4,นางสาวพัชรินทร์ ซำศิริพงษ์,ภูมิใจไทย,5,นายเดวิด มกรพงศ์,เพื่อไทย,6,นายกรณิศ บัวจันทร์,โอกาสใหม่,7,นายวนัส ฮ้อแสงชัย,รวมไทยสร้างชาติ,8,นายภูเชษฐ์ เผดิมปราชญ์,ไทยสร้างไทย,9,นางกุลธิภัสร์ ธนวีรชุติวัฒน์,ไทยก้าวใหม่,10,นายชุติ ปลื้มรุ่งเรือง,รักชาติ,11,นายเจษฎา เลิศธนสาร,ประชาธิปัตย์,12,นายนิกม์ แสงศิรินาวิน,พลังประชารัฐ,13,นายกิตติธัช สาสนะ,เศรษฐกิจ,14,นางอิสราพร นรินทร์,ไทยภักดี,15,นายเลิศสุวัฒน์ วงศ์สุวรรณ,เพื่อบ้านเมือง,,,,,,,,,,,,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,1,นายสุกฤษฏิ์ชัย ธีระเริงฤทธิ์,ไทยก้าวใหม่,2,นางสาวเพ็ญพิสุทธิ์ จินตโสภณ,เพื่อไทย,3,นายอภิมุข ฉันทวานิช,ประชาธิปัตย์,4,นายปรีชา บุดดีจีน,ไทยสร้างไทย,5,นายนรุตม์ชัย บุนนาค,กล้าธรรม,6,นายชูชาติ ชาญเชิงศิลปกุล,เศรษฐกิจ,7,นายณัฐฏ์ รุ่งเรือง,วิชชั่นใหม่,8,นายธีระพงษ์ มงคลวัฒนลีลา,พลังประชารัฐ,9,นายจรยุทธ จตุรพรประสิทธิ์,ประชาชน,10,นางสาวดวงกมล อดุลย์เศรณี,พลวัต,11,นายกันต์ณกฤต ยูนิพันธ์,รวมไทยสร้างชาติ,12,นายสาโรช ต่อเทียนชัย,ภูมิใจไทย,13,นายกิตติพศ ถนอมวรารักษ์,รักชาติ,14,นางสาวปัณณรัตน์ พนิตสิรินันท์,โอกาสใหม่,,,,,,,,,,,,,,,
กรุงเทพมหานคร,4,กรุงเทพมหานคร.04,1,นายพงศกร ขวัญเมือง,ประชาธิปัตย์,2,นายภัณฑิล น่วมเจิม,ประชาชน,3,นายชยพงศ์ สายฟ้า,ไทยก้าวใหม่,4,นางสาวบุณยกร ดำรงรัตน์,เพื่อไทย,5,นายเรืองไกร ลีกิจวัฒนะ,พลังประชารัฐ,6,นายเขตรัฐ เหล่าธรรมทัศน์,ภูมิใจไทย,7,นายอิทธิพัทธ์ โศภวัฒนาสิริ,ปวงชนไทย,8,นายรุจิระ อัคราพิริยพงศ์,ไทยสร้างไทย,9,ว่าที่ร้อยตรีหญิง ปภัสราวรรณ ม่วงไหม,กล้าธรรม,10,นายบุญเกียรติ วิศาลโกศล,เศรษฐกิจ,11,นายสรยุทธ ลิขิตอาภากุล,รักชาติ,12,นายสกลภัทร ประยูรรัตน์,รวมไทยสร้างชาติ,13,นางสาวพรพิมล ฉิมสวัสดิ์,โอกาสใหม่,,,,,,,,,,,,,,,,,,
กรุงเทพมหานคร,5,กรุงเทพมหานคร.05,1,นายปฎิวัติ ตรองจิตต์,ไทยสร้างไทย,2,นางสาวบุณยนุช ปทิตหิรัณยา,พลังประชารัฐ,3,นายประสพ โกมลมาศ,ไทยก้าวใหม่,4,นายประเดิมชัย บุญช่วยเหลือ,ภูมิใจไทย,5,นายปณิธิ บวรวนิชยกูร,รักชาติ,6,นายปิติกรณ์ บรรณเภสัช,ประชาชน,7,นางสาวสุภกฤตา ธงไชย,รวมไทยสร้างชาติ,8,นายทนัฏฐ์ ปานโสภณ,พลวัต,9,นายศุข ศักดิ์ณรงค์เดช,กล้าธรรม,10,นายถวิล รัตตะมณี,โอกาสใหม่,11,นายมานิตย์ ทองประชาญ,เศรษฐกิจ,12,นายนนธนัตถ์ บุนนาค,ประชาธิปัตย์,13,นายขจรศักดิ์ ประดิษฐาน,เพื่อไทย,14,นางสาวเฌอมินทร์ สถิตโอฬารโรจน์,ปวงชนไทย,15,นายณัฐสุรัช หงษ์วิจิตปรีชา,เพื่อบ้านเมือง,16,นายวศิน รัตตะรังสี,วิชชั่นใหม่,,,,,,,,,
กรุงเทพมหานคร,6,กรุงเทพมหานคร.06,1,นายโชติพงศ์ สรรเสริญ,ไทยก้าวใหม่,2,นายณรงค์ชัย เมืองครอง,กล้าธรรม,3,นายชณทัต ปัทะมะภูวดล,รวมไทยสร้างชาติ,4,นายสหัสวรรษ วีระมงคลกุล,เพื่อไทย,5,นางสาวศิริภา อินทวิเชียร,ประชาธิปัตย์,6,นายอิง อิงคตานุวัฒน์,ไทยภักดี,7,นายกัณตภณ ดวงอัมพร,ประชาชน,8,นายวรวิช กมลโชติรส,รักชาติ,9,พลตรี ดนัย ดิษาภิรมย์,ไทยสร้างไทย,10,นายกชพล จิตต์มั่นการ,พลวัต,11,นางสาวอรพินทร์ เพชรทัต,โอกาสใหม่,12,นายเจนวิทย์ สิริญาณสรณ์,ประชาธิปไตยใหม่,13,นายนรเสฏฐ์ เธียรประสิทธิ์,ภูมิใจไทย,14,นายอัศวิน อัศวินวิจิตร,เศรษฐกิจ,15,นายสมชาย คงศิริวงค์,ฟิวชัน,16,นางสาวจงชนก พัชรประภากร,ปวงชนไทย,,,,,,,,,
กรุงเทพมหานคร,7,กรุงเทพมหานคร.07,1,นายพงศ์พล เตมีย์,ประชาธิปัตย์,2,นางกิติมา สิงห์ลา,พลวัต,3,นายพุฒิพงศ์ อินทรสุวรรณ,เพื่อไทย,4,นายชื่นชอบ คงอุดม,รวมไทยสร้างชาติ,5,นางสาวชลิดา สุวรรณโชติ,ไทยสร้างไทย,6,นางลลิตา ฤกษ์สำราญ,ภูมิใจไทย,7,นายศุภฤทธิ์ มั่นนทีรัย,กล้าธรรม,8,นางสาวภัสริน รามวงศ์,ประชาชน,9,ร้อยตำรวจเอก วัฒนรักษ์ อำนรรฆสรเดช,พลังประชารัฐ,10,นายเรวัตร คงชาติ,ไทยก้าวใหม่,11,ร้อยตำรวจตรี เสน่ห์ ชัยทร,ฟิวชัน,12,นายณพวุฒิ จุลไสย,โอกาสใหม่,13,พลโท มนัส แถบทอง,เศรษฐกิจ,,,,,,,,,,,,,,,,,,
