province,cons_no,cons_code,ballot_no,candidate_name,party,resign
กระบี่,1,กระบี่.01,1,นายสุวรรณ อินพรหม,เพื่อไทย,
กระบี่,1,กระบี่.01,2,นายกิตติ กิตติธรกุล,ภูมิใจไทย,
กระบี่,1,กระบี่.01,3,นายธนวัช ภูเก้าล้วน,ประชาชน,
กระบี่,1,กระบี่.01,4,นายวศิน สิริเกียรติกุล,ประชาธิปัตย์,
กระบี่,1,กระบี่.01,5,นายพิทักษ์ ภารา,เศรษฐกิจ,
กระบี่,1,กระบี่.01,6,นายพงไพร บุตรเลี่ยม,พลังประชารัฐ,
กระบี่,2,กระบี่.02,1,นายยุทธนา อ่าวลึกน้อย,เพื่อไทย,
กระบี่,2,กระบี่.02,2,นายถิรเดช ตั้งมั่นก่อกิจ,ภูมิใจไทย,
กระบี่,2,กระบี่.02,3,นายสมใจ นวลนุ่น,ไทยก้าวใหม่,
กระบี่,2,กระบี่.02,4,นายกฤตพร บุษย์เพชร,ประชาธิปัตย์,
กระบี่,2,กระบี่.02,5,นางสาวรัตนภรณ์ ณ นคร,ประชาชน,
กระบี่,2,กระบี่.02,6,นายวิชากร บุญฤทธิ์,พลังประชารัฐ,
กระบี่,2,กระบี่.02,7,นายสีหเดช แสงจันทร์,เศรษฐกิจ,
กระบี่,3,กระบี่.03,1,นายสุกิติ พรหมทอง,ประชาธิปัตย์,
กระบี่,3,กระบี่.03,2,นายประเสริฐพงษ์ ศรนุวัตร์,ประชาชน,
กระบี่,3,กระบี่.03,3,นายกุศล วะเจดีย์,เพื่อไทย,
กระบี่,3,กระบี่.03,4,นายศรัญญู รักมิตร,กล้าธรรม,
กระบี่,3,กระบี่.03,5,นายกิตติชัย เอ่งฉ้วน,ภูมิใจไทย,
กระบี่,3,กระบี่.03,6,นายสรร ชัยภัทรธัญกร,เศรษฐกิจ,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,1,นางสาวลลิดา เพริศวิวัฒนา,ภูมิใจไทย,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,2,พันตำรวจโทหญิง แสนสุข อุทยานินทร์,เศรษฐกิจ,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,3,นายอัครพล คฤหเดชรัตนา,กล้าธรรม,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,4,นายธนะสิทธิ์ ล้อสุวรรณทีปต์,พลวัต,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,5,นายปารเมศ วิทยารักษ์สรรค์,ประชาชน,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,6,นายพลัฏฐ์ ศิริกุลพิสุทธิ์,รวมไทยสร้างชาติ,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,7,นายภัทรพล หมดมลทิน,ไทยภักดี,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,8,นายญาณกิตติ์ ห่วงทรัพย์,เพื่อไทย,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,9,นายพีรวุฒิ พิมพ์สมฤดี,ประชาธิปัตย์,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,10,นายวีรยุทธ ประกอบการ,ปวงชนไทย,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,11,นายพิเชษฐ์ ไทยนิยม,ไทยสร้างไทย,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,12,นายแทนคุณ จิตต์อิสระ,โอกาสใหม่,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,13,นายเลิศชาย สุจริตกุล,วิชชั่นใหม่,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,14,นายมงคล เสมอภาพ,ประชาธิปไตยใหม่,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,15,นายอดัม ชินรัตนพิสิทธิ์,รักชาติ,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,16,นายกานต์ กิตติอำพน,ไทยก้าวใหม่,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,17,นายประสงค์ ประสพโชค,ทางเลือกใหม่,
กรุงเทพมหานคร,1,กรุงเทพมหานคร.01,18,นายกิตติคุณ ชื่นแย้ม,พลังประชารัฐ,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,1,นางสาววรสิริ สุพานิชวรภาชน์,ปวงชนไทย,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,2,นายเสกสิทธิ์ แย้มสงวนศักดิ์,ประชาชน,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,3,นางสาววิลาสินี แป๊ะสมัน,กล้าธรรม,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,4,นางสาวพัชรินทร์ ซำศิริพงษ์,ภูมิใจไทย,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,5,นายเดวิด มกรพงศ์,เพื่อไทย,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,6,นายกรณิศ บัวจันทร์,โอกาสใหม่,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,7,นายวนัส ฮ้อแสงชัย,รวมไทยสร้างชาติ,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,8,นายภูเชษฐ์ เผดิมปราชญ์,ไทยสร้างไทย,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,9,นางกุลธิภัสร์ ธนวีรชุติวัฒน์,ไทยก้าวใหม่,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,10,นายชุติ ปลื้มรุ่งเรือง,รักชาติ,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,11,นายเจษฎา เลิศธนสาร,ประชาธิปัตย์,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,12,นายนิกม์ แสงศิรินาวิน,พลังประชารัฐ,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,13,นายกิตติธัช สาสนะ,เศรษฐกิจ,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,14,นางอิสราพร นรินทร์,ไทยภักดี,
กรุงเทพมหานคร,2,กรุงเทพมหานคร.02,15,นายเลิศสุวัฒน์ วงศ์สุวรรณ,เพื่อบ้านเมือง,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,1,นายสุกฤษฏิ์ชัย ธีระเริงฤทธิ์,ไทยก้าวใหม่,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,2,นางสาวเพ็ญพิสุทธิ์ จินตโสภณ,เพื่อไทย,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,3,นายอภิมุข ฉันทวานิช,ประชาธิปัตย์,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,4,นายปรีชา บุดดีจีน,ไทยสร้างไทย,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,5,นายนรุตม์ชัย บุนนาค,กล้าธรรม,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,6,นายชูชาติ ชาญเชิงศิลปกุล,เศรษฐกิจ,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,7,นายณัฐฏ์ รุ่งเรือง,วิชชั่นใหม่,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,8,นายธีระพงษ์ มงคลวัฒนลีลา,พลังประชารัฐ,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,9,นายจรยุทธ จตุรพรประสิทธิ์,ประชาชน,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,10,นางสาวดวงกมล อดุลย์เศรณี,พลวัต,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,11,นายกันต์ณกฤต ยูนิพันธ์,รวมไทยสร้างชาติ,
กรุงเทพมหานคร,3,กรุงเทพมหานคร.03,12,นายสาโรช ต่อเทียนชัย,ภูมิใจไทย,
